checkpoint,context_fid,laplace_b
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps2346880_val0.0412_b0.0345,61.955230712890625,0.034084643895348835
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps123520_val0.0396_b0.0276,62.098697662353516,0.026803875363372094
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps247040_val0.0398_b0.0277,63.3912239074707,0.02727703851744186
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps370560_val0.0407_b0.0329,63.378421783447266,0.031685566860465114
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps494080_val0.0407_b0.0300,61.589500427246094,0.031337114825581394
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps617600_val0.0408_b0.0316,60.09135818481445,0.03265885174418605
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps741120_val0.0406_b0.0348,60.87256622314453,0.03212442587209302
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps864640_val0.0400_b0.0323,63.89395523071289,0.029185434229651162
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps988160_val0.0398_b0.0300,64.99679565429688,0.02873704215116279
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps1111680_val0.0407_b0.0308,62.43949890136719,0.03091718023255814
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps1235200_val0.0402_b0.0316,62.59215545654297,0.029128840843023255
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps1358720_val0.0404_b0.0272,62.65190505981445,0.029917042151162792
audio2latent_backbone:conv:skipFalse_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.1_lr:0.001_wd:0_steps1482240_val0.0405_b0.0315,65.26875305175781,0.030434663880813954
